variable,value,label,meta
YEAR,,Survey year,varlab
STATEFIP,,State (FIPS code),varlab
STATEFIP,1,Alabama,
STATEFIP,2,Alaska,
STATEFIP,4,Arizona,
STATEFIP,5,Arkansas,
STATEFIP,6,California,
STATEFIP,8,Colorado,
STATEFIP,9,Connecticut,
STATEFIP,10,Delaware,
STATEFIP,11,District of Columbia,
STATEFIP,12,Florida,
STATEFIP,13,Georgia,
STATEFIP,15,Hawaii,
STATEFIP,16,Idaho,
STATEFIP,17,Illinois,
STATEFIP,18,Indiana,
STATEFIP,19,Iowa,
STATEFIP,20,Kansas,
STATEFIP,21,Kentucky,
STATEFIP,22,Louisiana,
STATEFIP,23,Maine,
STATEFIP,24,Maryland,
STATEFIP,25,Massachusetts,
STATEFIP,26,Michigan,
STATEFIP,27,Minnesota,
STATEFIP,28,Mississippi,
STATEFIP,29,Missouri,
STATEFIP,30,Montana,
STATEFIP,31,Nebraska,
STATEFIP,32,Nevada,
STATEFIP,33,New Hampshire,
STATEFIP,34,New Jersey,
STATEFIP,35,New Mexico,
STATEFIP,36,New York,
STATEFIP,37,North Carolina,
STATEFIP,38,North Dakota,
STATEFIP,39,Ohio,
STATEFIP,40,Oklahoma,
STATEFIP,41,Oregon,
STATEFIP,42,Pennsylvania,
STATEFIP,44,Rhode Island,
STATEFIP,45,South Carolina,
STATEFIP,46,South Dakota,
STATEFIP,47,Tennessee,
STATEFIP,48,Texas,
STATEFIP,49,Utah,
STATEFIP,50,Vermont,
STATEFIP,51,Virginia,
STATEFIP,53,Washington,
STATEFIP,54,West Virginia,
STATEFIP,55,Wisconsin,
STATEFIP,56,Wyoming,
STATEFIP,61,Maine-New Hampshire-Vermont,
STATEFIP,65,Montana-Idaho-Wyoming,
STATEFIP,68,Alaska-Hawaii,
STATEFIP,69,Nebraska-North Dakota-South Dakota,
STATEFIP,70,Maine-Massachusetts-New Hampshire-Rhode Island-Vermont,
STATEFIP,71,Michigan-Wisconsin,
STATEFIP,72,Minnesota-Iowa,
STATEFIP,73,Nebraska-North Dakota-South Dakota-Kansas,
STATEFIP,74,Delaware-Virginia,
STATEFIP,75,North Carolina-South Carolina,
STATEFIP,76,Alabama-Mississippi,
STATEFIP,77,Arkansas-Oklahoma,
STATEFIP,78,Arizona-New Mexico-Colorado,
STATEFIP,79,Idaho-Wyoming-Utah-Montana-Nevada,
STATEFIP,80,Alaska-Washington-Hawaii,
STATEFIP,81,New Hampshire-Maine-Vermont-Rhode Island,
STATEFIP,83,South Carolina-Georgia,
STATEFIP,84,Kentucky-Tennessee,
STATEFIP,85,Arkansas-Louisiana-Oklahoma,
STATEFIP,87,Iowa-N Dakota-S Dakota-Nebraska-Kansas-Minnesota-Missouri,
STATEFIP,88,Washington-Oregon-Alaska-Hawaii,
STATEFIP,89,Montana-Wyoming-Colorado-New Mexico-Utah-Nevada-Arizona,
STATEFIP,90,Delaware-Maryland-Virginia-West Virginia,
STATEFIP,99,State not identified,
METRO,,Metropolitan central city status,varlab
METRO,0,Not identifiable,
METRO,1,Not in metro area,
METRO,2,Central city,
METRO,3,Outside central city,
METRO,4,Central city status unknown,
METRO,9,Missing/Unknown,
AGE,,Age,varlab
AGE,0,Under 1 year,
AGE,90,"90 (90+, 1988-2002)",
AGE,99,99+,
SEX,,Sex,varlab
SEX,1,Male,
SEX,2,Female,
SEX,9,NIU,
RACE,,Race,varlab
RACE,100,White,
RACE,200,Black/Negro,
RACE,300,American Indian/Aleut/Eskimo,
RACE,650,Asian or Pacific Islander,
RACE,651,Asian only,
RACE,652,Hawaiian/Pacific Islander only,
RACE,700,"Other (single) race, n.e.c.",
RACE,801,White-Black,
RACE,802,White-American Indian,
RACE,803,White-Asian,
RACE,804,White-Hawaiian/Pacific Islander,
RACE,805,Black-American Indian,
RACE,806,Black-Asian,
RACE,807,Black-Hawaiian/Pacific Islander,
RACE,808,American Indian-Asian,
RACE,809,Asian-Hawaiian/Pacific Islander,
RACE,810,White-Black-American Indian,
RACE,811,White-Black-Asian,
RACE,812,White-American Indian-Asian,
RACE,813,White-Asian-Hawaiian/Pacific Islander,
RACE,814,White-Black-American Indian-Asian,
RACE,815,American Indian-Hawaiian/Pacific Islander,
RACE,816,White-Black--Hawaiian/Pacific Islander,
RACE,817,White-American Indian-Hawaiian/Pacific Islander,
RACE,818,Black-American Indian-Asian,
RACE,819,White-American Indian-Asian-Hawaiian/Pacific Islander,
RACE,820,"Two or three races, unspecified",
RACE,830,"Four or five races, unspecified",
RACE,999,Blank,
MARST,,Marital status,varlab
MARST,1,"Married, spouse present",
MARST,2,"Married, spouse absent",
MARST,3,Separated,
MARST,4,Divorced,
MARST,5,Widowed,
MARST,6,Never married/single,
MARST,7,Widowed or Divorced,
MARST,9,NIU,
VETSTAT,,Veteran status,varlab
VETSTAT,0,NIU,
VETSTAT,1,No service,
VETSTAT,2,Yes,
VETSTAT,9,Unknown,
CITIZEN,,Citizenship status,varlab
CITIZEN,1,Born in U.S,
CITIZEN,2,Born in U.S. outlying,
CITIZEN,3,Born abroad of American parents,
